,name,category,leetcode,answer,idx
0,3Sum,array,https://leetcode.com/problems/3sum/,https://github.com/MrSyee/algorithm_practice/blob/master/array/three_sum.py,
1,Merge Intervals,array,https://leetcode.com/problems/merge-intervals/,https://github.com/MrSyee/algorithm_practice/blob/master/array/merge_intervals.py,
2,Happy Number,hash table,https://leetcode.com/problems/happy-number/,https://github.com/MrSyee/algorithm_practice/blob/master/hash_table/happy_number.py,
3,Longest Substring Without Repeating Characters,hash table,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://github.com/MrSyee/algorithm_practice/blob/master/hash_table/longest_substring_without_repeating_chars.py,
4,Copy List with Random Pointer,hash table,https://leetcode.com/problems/copy-list-with-random-pointer/,https://github.com/MrSyee/algorithm_practice/blob/master/hash_table/copy_list_of_random_pointer.py,
5,Insert Delete GetRandom O(1),hash table,https://leetcode.com/problems/insert-delete-getrandom-o1/,https://github.com/MrSyee/algorithm_practice/blob/master/hash_table/insert_delete_get_random_O1.py,
6,Find Duplicate File in System,hash table,https://leetcode.com/problems/find-duplicate-file-in-system/,https://github.com/MrSyee/algorithm_practice/blob/master/hash_table/find-duplicate-file-in-system.py,
7,Search in Rotated Sorted Array,search,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://github.com/MrSyee/algorithm_practice/blob/master/search/search-in-rotated-sorted-array.py,
8,Next Permutation,array,https://leetcode.com/problems/next-permutation/,https://github.com/MrSyee/algorithm_practice/blob/master/array/next-permutation.py,
9,Trapping Rain Water,array,https://leetcode.com/problems/trapping-rain-water/,https://github.com/MrSyee/algorithm_practice/blob/master/array/trapping-rain-water.py,
10,Longest Palindromic Substring,dp,https://leetcode.com/problems/longest-palindromic-substring/,https://github.com/MrSyee/algorithm_practice/blob/master/dp/longest-palindromic-substring.py,
11,Permutations,dp,https://leetcode.com/problems/permutations/,https://github.com/MrSyee/algorithm_practice/blob/master/dp/permutations.py,
12,Latest Time by Replacing Hidden Digits,greedy,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits/,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/latest-time-by-replacing-hidden-digits.py,
13,Change Minimum Characters to Satisfy One of Three Conditions,greedy,https://leetcode.com/contest/weekly-contest-225/problems/change-minimum-characters-to-satisfy-one-of-three-conditions/,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/change-minimum-characters-to-satisfy-one-of-three-conditions.py,
14,Maximum Number of Balls in a Box,array,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,https://github.com/MrSyee/algorithm_practice/blob/master/array/maximum-number-of-balls-in-a-box.py,
15,Restore the Array From Adjacent Pairs,dfs,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,https://github.com/MrSyee/algorithm_practice/blob/master/dfs/restore-the-array-from-adjacent-pairs.py,15.0
16,Can You Eat Your Favorite Candy on Your Favorite Day?,math,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day,https://github.com/MrSyee/algorithm_practice/blob/master/math/can_you_eat_your_favorite_candy_on_your_favorite_day.py,16.0
17,Palindrome Partitioning IV,dp,https://leetcode.com/problems/palindrome-partitioning-iv,https://github.com/MrSyee/algorithm_practice/blob/master/dp/pelindrome_partioning_4.py,17.0
18,Check if Array Is Sorted and Rotated,array,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,https://github.com/MrSyee/algorithm_practice/blob/master/array/check_if_array_is_sorted_and_rotated.py,18.0
19,Maximum Score From Removing Stones,math,https://leetcode.com/problems/maximum-score-from-removing-stones,https://github.com/MrSyee/algorithm_practice/blob/master/math/maximum_score_from_removing_stones.py,19.0
20,Largest Merge Of Two Strings,greedy,https://leetcode.com/problems/largest-merge-of-two-strings,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/largest_merge_of_two_strings.py,20.0
21,Minimum Changes To Make Alternating Binary String,array,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,https://github.com/MrSyee/algorithm_practice/blob/master/array/minimum_changes_to_make_alternating_binary_string.py,21.0
22,Count Number of Homogenous Substrings,array,https://leetcode.com/problems/count-number-of-homogenous-substrings,https://github.com/MrSyee/algorithm_practice/blob/master/array/count_number_of_homogenous_substrings.py,22.0
23,Minimum Limit of Balls in a Bag,search,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,https://github.com/MrSyee/algorithm_practice/blob/master/search/minimum_limit_of_balls_in_a_bag.py,23.0
24,Minimum Number of Operations to Move All Balls to Each Box,array,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box,https://github.com/MrSyee/algorithm_practice/blob/master/array/minimum_number_of_operations_to_move_all_balls_to_each_box.py,24.0
25,Merge Strings Alternately,string,https://leetcode.com/problems/merge-strings-alternately,https://github.com/MrSyee/algorithm_practice/blob/master/string/merge_strings_alternately.py,25.0
26,Maximum Score from Performing Multiplication Operations,dfs,https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations,https://github.com/MrSyee/algorithm_practice/blob/master/dfs/maximum_score_from_performing_multiplication_operations.py,26.0
27,Count Items Matching a Rule,array,https://leetcode.com/problems/count-items-matching-a-rule,https://github.com/MrSyee/algorithm_practice/blob/master/array/count_items_matching_a_rule.py,27.0
28,Closest Dessert Cost,dfs,https://leetcode.com/problems/closest-dessert-cost,https://github.com/MrSyee/algorithm_practice/blob/master/dfs/closest_dessert_cost.py,28.0
29,Check if Binary String Has at Most One Segment of Ones,greedy,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/check_if_binary_string_has_at_most_one_segment_of_ones.py,29.0
30,Equal Sum Arrays With Minimum Number of Operations,greedy,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/equal_sum_arrays_with_minimum_number_of_operations.py,30.0
31,Minimum Elements to Add to Form a Given Sum,greedy,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,https://github.com/MrSyee/algorithm_practice/blob/master/greedy/minimum_elements_to_add_to_form_a_given_sum.py,31.0
32,Number of Restricted Paths From First to Last Node,graph,https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node,https://github.com/MrSyee/algorithm_practice/blob/master/graph/number_of_restricted_paths_from_first_to_last_node.py,32.0
33,Maximum Ascending Subarray Sum,array,https://leetcode.com/problems/maximum-ascending-subarray-sum,https://github.com/MrSyee/algorithm_practice/blob/master/array/maximum_ascending_subarray_sum.py,33.0
34,Number of Orders in the Backlog,heap,https://leetcode.com/problems/number-of-orders-in-the-backlog,https://github.com/MrSyee/algorithm_practice/blob/master/heap/number_of_orders_in_the_backlog.py,34.0
